5364;37;Демисезонная;Elche;Ботильоны женские;3706;Ботильоны женские велюр+шевро ворсин;;12.10.2011 14:45;0;0;9;http://obuvimnogo.my1.ru/shop/5364/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5364.jpg;370,6
5367;37;Демисезонная;Elche;Ботильоны женские;4294,2;Ботильоны женские шевро ворсин;;12.10.2011 14:45;0;0;8;http://obuvimnogo.my1.ru/shop/5367/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5367.jpg;429,42
5371;37;Демисезонная;Elche;Ботильоны женские;4425,1;Ботильоны женские шевро ворсин;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5371/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5371.jpg;442,51
5372;37;Демисезонная;Elche;Ботильоны женские;3971,2;Ботильоны женские велюр ворсин;;12.10.2011 14:45;0;0;8;http://obuvimnogo.my1.ru/shop/5372/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5372.jpg;397,12
5459;37;Демисезонная;Julia Grossi;Ботильоны женские;3989,9;Ботильоны женские нат.кожа байка;;12.10.2011 14:45;0;0;6;http://obuvimnogo.my1.ru/shop/5459/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/54/5459.jpg;398,99
5461;37;Демисезонная;Julia Grossi;Ботильоны женские;3964,4;Ботильоны женские нат.кожа байка;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5461/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/54/5461.jpg;396,44
5462;37;Демисезонная;Julia Grossi;Ботильоны женские;4142,9;Ботильоны женские нубук байка;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5462/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/54/5462.jpg;414,29
5639;37;Демисезонная;LeFollie;Ботильоны женские;3887,9;Ботильоны женские шевро ворсин;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5639/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/56/5639.jpg;388,79
5642;37;Демисезонная;LeFollie;Ботильоны женские;4618,9;Ботильоны женские шевро ворсин;;12.10.2011 14:45;0;0;6;http://obuvimnogo.my1.ru/shop/5642/desc/botilony-zhenskie;http://obuvimnogo.my1.ru/_sh/56/5642.jpg;461,89
6183;37;Демисезонная;S&M;Ботинки женские;3655;Ботинки жен;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/6183/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/61/6183.jpg;365,5
5056;37;Демисезонная;J&Elisabeth;Ботинки женские;1326;Ботинки жен.синий иск.кожа;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5056/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/50/5056.jpg;132,6
5312;37;Демисезонная;Dino Ricci;Ботинки женские;3553;Ботинки женские ЧЕРНЫЙ н.к. т.п.;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5312/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5312.jpg;355,3
5313;37;Демисезонная;Dino Ricci;Ботинки женские;3553;Ботинки женские велюр т.п.черн.;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5313/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5313.jpg;355,3
5315;37;Демисезонная;Dino Ricci;Ботинки женские;4165;Ботинки женские нат.кожа текстиль;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5315/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5315.jpg;416,5
5318;37;Демисезонная;Dino Ricci;Ботинки женские;3485;Ботинки женские нат.кожа текстиль;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5318/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5318.jpg;348,5
5322;37;Демисезонная;Dino Ricci;Ботинки женские;3740;Ботинки женские велюр текстиль;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5322/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5322.jpg;374
5323;37;Демисезонная;Dino Ricci;Ботинки женские;3740;Ботинки женские велюр текстиль;;12.10.2011 14:45;0;0;7;http://obuvimnogo.my1.ru/shop/5323/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/53/5323.jpg;374
5584;37;Демисезонная;Keddo;Ботинки женские;867;Ботинки женские текстиль текстиль;;12.10.2011 14:45;0;0;9;http://obuvimnogo.my1.ru/shop/5584/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/55/5584.jpg;86,7
5585;37;Демисезонная;Laura Valorosa;Ботинки женские;3876;ботинки жен. черный нат.кожа байка;;12.10.2011 14:45;0;0;8;http://obuvimnogo.my1.ru/shop/5585/desc/botinki-zhenskie;http://obuvimnogo.my1.ru/_sh/55/5585.jpg;387,6
